,run,subid,charName,country,age,gender,englishNative,ethnicity,education,religionChild,religionNow,job,comments,trialNum,bgColor,capacity,capWording,hoverTime,rt,response,responseNum,country_selfrep
1,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,1,#c2e9f5,beliefs,have beliefs -- like when you think something is true,0,10126,1,1,USA
2,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,2,#c3e5b5,fear,feel scared,0,3239,0,0,USA
3,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,3,#f0d9a2,self_aware,be aware of itself,0,2314,6,6,USA
4,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,4,#94ebda,remembering,remember things,0,1077,6,6,USA
5,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,5,#97eca5,goal,have goals -- like when you're working hard to do something or make something happen,0,2873,3,3,USA
6,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,6,#b5eaa1,odors,smell things,0,1639,0,0,USA
7,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,7,#bfd6fa,personality,have a personality -- like when someone is shy and somebody else is silly,0,2176,4,4,USA
8,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,8,#e3df8e,temperature,sense temperatures,0,2013,6,6,USA
9,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,9,#9be4c0,pleasure,feel pleasure -- like when something feels really good,0,2926,0,0,USA
10,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,10,#b4dbe7,tired,feel tired,0,1545,0,0,USA
11,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,11,#fddbd0,choices,make choices,0,1689,6,6,USA
12,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,12,#f0d27e,embarrassed,feel embarrassed,0,1411,0,0,USA
13,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,13,#d1e48e,guilt,feel guilty,0,1062,0,0,USA
14,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,14,#64f8f4,communicating,communicate with somebody else,0,2634,6,6,USA
15,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,15,#3eeaef,emo_recog,understand how somebody else is feeling,0,2057,1,1,USA
16,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,16,#bae6c8,morality,know what's nice and what's mean,0,1819,1,1,USA
17,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,17,#fde096,love,feel love,0,1441,0,0,USA
18,us_run_02,us_run_02_1,robot,us,25,male,yes_only,white,college_bachDegree,christianity_catholic,christianity_catholic,Mechanical Engineer,NA,18,#aceab4,pride,feel proud,0,1863,0,0,USA
